iter	Passed	Remaining
0	0	74
1	1	90
2	2	85
3	3	77
4	4	76
5	4	75
6	5	74
7	6	74
8	7	76
9	8	74
10	9	73
11	10	76
12	11	76
13	12	76
14	13	74
15	13	73
16	14	72
17	15	70
18	16	68
19	16	67
20	17	67
21	18	66
22	19	65
23	20	64
24	21	63
25	21	62
26	24	65
27	25	64
28	25	63
29	26	62
30	27	61
31	28	60
32	29	59
33	30	58
34	30	57
35	31	56
36	32	55
37	33	54
38	34	53
39	35	52
40	35	51
41	36	50
42	37	49
43	38	49
44	39	48
45	40	47
46	41	46
47	41	45
48	42	44
49	43	43
50	44	42
51	44	41
52	45	40
53	46	39
54	46	38
55	47	37
56	47	36
57	48	35
58	49	34
59	51	34
60	51	33
61	53	32
62	53	31
63	54	30
64	55	29
65	55	28
66	56	27
67	57	26
68	58	26
69	58	25
70	59	24
71	60	23
72	60	22
73	61	21
74	62	20
75	62	19
76	64	19
77	65	18
78	66	17
79	67	16
80	67	15
81	68	15
82	69	14
83	69	13
84	70	12
85	71	11
86	71	10
87	72	9
88	73	9
89	73	8
90	74	7
91	75	6
92	75	5
93	77	4
94	78	4
95	78	3
96	79	2
97	80	1
98	80	0
99	81	0
